type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,36.146807000,-86.775560000,160.4,,,,0.000,,,1A_NashvilleToPaducah,
T,36.146855000,-86.775427000,160.5,,65.9,0.6,0.013,13.10,,,
T,36.146902000,-86.775332000,160.3,,58.5,-1.8,0.023,10.01,,,
T,36.146955000,-86.775238000,160.1,,55.1,-2.3,0.033,10.30,,,
T,36.147024000,-86.775147000,159.7,,46.8,-3.3,0.045,11.21,,,
T,36.147094000,-86.775083000,159.2,,36.4,-5.7,0.054,9.67,,,
T,36.147083000,-86.774975000,159.4,,97.2,2.3,0.064,9.80,,,
T,36.147061000,-86.774761000,159.6,,97.3,1.1,0.084,19.41,,,
T,36.147134000,-86.774526000,158.6,,69.0,-4.6,0.106,22.65,,,
T,36.147190000,-86.774447000,158.0,,48.7,-6.3,0.116,9.44,,,
T,36.147242000,-86.774424000,157.5,,19.7,-7.8,0.122,6.13,,,
T,36.147300000,-86.774404000,157.0,,15.6,-7.8,0.128,6.68,,,
T,36.147316000,-86.774547000,156.9,,277.9,-0.5,0.141,12.99,1,,
T,36.147316000,-86.774547000,156.9,,277.9,,0.141,0.00,,,
T,36.147399000,-86.775266000,156.3,,278.1,-0.9,0.207,65.36,,,
T,36.147401000,-86.775337000,156.3,,272.0,-1.1,0.213,6.39,,,
T,36.147398000,-86.775411000,156.2,,267.1,-0.9,0.220,6.67,,,
T,36.147388000,-86.775507000,156.2,,262.6,-0.4,0.229,8.71,,,
T,36.147368000,-86.775623000,156.1,,257.9,-0.3,0.239,10.67,,,
T,36.147355000,-86.775681000,156.1,,254.5,0.1,0.245,5.42,,,
T,36.147339000,-86.775735000,156.2,,249.9,1.8,0.250,5.17,,,
T,36.147308000,-86.775813000,156.4,,243.8,2.1,0.258,7.82,,,
T,36.147273000,-86.775885000,156.5,,239.0,1.8,0.265,7.55,,,
T,36.147209000,-86.775989000,156.7,,232.7,1.6,0.277,11.75,,,
T,36.147122000,-86.776103000,157.1,,226.6,3.0,0.291,14.09,,,
T,36.147040000,-86.776187000,157.6,,219.6,3.6,0.303,11.83,,,
T,36.146984000,-86.776231000,157.8,,212.4,3.4,0.310,7.37,,,
T,36.146899000,-86.776281000,158.0,,205.4,1.9,0.321,10.45,,,
T,36.146798000,-86.776324000,158.3,,199.0,2.3,0.333,11.86,,,
T,36.146688000,-86.776353000,158.8,,192.0,4.1,0.345,12.48,,,
T,36.146615000,-86.776358000,159.2,,183.2,4.6,0.353,8.11,,,
T,36.143817000,-86.776561000,162.8,,183.4,1.2,0.664,311.01,,,
T,36.143651000,-86.776546000,162.8,,175.8,-0.3,0.683,18.47,,,
T,36.143563000,-86.776525000,163.0,,169.1,1.9,0.693,9.95,,,
T,36.143436000,-86.776475000,163.0,,162.4,0.4,0.707,14.79,,,
T,36.143341000,-86.776423000,163.1,,156.2,0.9,0.719,11.53,,,
T,36.143169000,-86.776270000,163.8,,144.3,2.8,0.742,23.53,,,
T,36.142932000,-86.776024000,163.3,,140.0,-1.4,0.777,34.38,,,
T,36.142826000,-86.775943000,162.9,,148.3,-2.7,0.791,13.84,,,
T,36.142651000,-86.775838000,162.3,,154.1,-2.9,0.812,21.60,,,
T,36.142475000,-86.775785000,161.8,,166.3,-2.7,0.832,20.10,,,
T,36.142246000,-86.775754000,161.4,,173.8,-1.5,0.858,25.56,,,
T,36.142127000,-86.775769000,161.4,,185.8,0.3,0.871,13.27,,,
T,36.142005000,-86.776388000,159.7,,256.3,-2.9,0.928,57.33,,,
T,36.141873000,-86.777064000,163.6,,256.4,6.2,0.991,62.58,,,
T,36.141818000,-86.777356000,165.3,,256.9,6.3,1.018,26.98,,,
T,36.141796000,-86.777499000,166.1,,259.2,5.7,1.031,13.10,,,
T,36.141762000,-86.777936000,168.7,,264.5,6.7,1.071,39.51,,,
T,36.141749000,-86.778115000,169.9,,264.9,7.7,1.087,16.17,,,
T,36.141719000,-86.778528000,172.4,,264.9,6.6,1.124,37.32,,,
T,36.141719000,-86.778560000,172.5,,270.0,4.2,1.127,2.88,,,
T,36.141717000,-86.778701000,173.0,,269.0,4.1,1.140,12.69,,,
T,36.141817000,-86.778717000,173.3,,352.6,2.2,1.151,11.19,,,
T,36.142430000,-86.778793000,173.3,,354.3,0.1,1.219,68.36,,,
T,36.142498000,-86.778802000,173.1,,353.9,-3.4,1.227,7.59,,,
T,36.142683000,-86.778825000,172.3,,354.3,-3.9,1.247,20.63,,,
T,36.142772000,-86.778824000,171.8,,0.5,-5.0,1.257,9.88,,,
T,36.142875000,-86.778828000,171.2,,358.2,-5.1,1.269,11.43,1,,
T,36.142875000,-86.778828000,171.2,,358.2,,1.269,0.00,,,
T,36.143139000,-86.778838000,169.7,,358.2,-4.9,1.298,29.31,,,
T,36.143167000,-86.778839000,169.6,,358.3,-4.9,1.301,3.11,,,
